Date,Open,High,Low,Close,Volume
29-Nov-17,75.13,75.77,74.05,75.04,21876367
28-Nov-17,71.44,74.00,71.13,73.70,18048317
27-Nov-17,71.99,72.36,71.30,71.39,12615197
24-Nov-17,72.41,72.52,71.99,72.02,4676099
22-Nov-17,72.45,73.15,72.26,72.26,9146179
21-Nov-17,72.50,72.59,72.13,72.38,9632060
20-Nov-17,71.77,72.30,71.28,72.05,10000030
17-Nov-17,71.16,71.83,70.94,71.33,11812986
16-Nov-17,72.11,72.32,71.51,71.67,12415631
15-Nov-17,70.62,72.07,70.02,71.73,17541796
14-Nov-17,71.65,71.80,71.04,71.53,13188856
13-Nov-17,71.67,72.15,71.48,71.99,13500569
10-Nov-17,72.53,72.86,72.11,72.25,12853126
9-Nov-17,71.72,72.76,71.45,72.43,15496589
8-Nov-17,72.39,72.57,71.52,72.34,18710614
7-Nov-17,73.78,74.00,72.32,72.71,17255669
6-Nov-17,73.59,74.03,73.17,73.80,12636568
3-Nov-17,74.22,74.39,73.84,74.05,10692579
2-Nov-17,73.95,74.85,73.33,74.74,12997496
1-Nov-17,73.99,74.52,73.81,74.03,11361923
31-Oct-17,73.87,74.09,73.26,73.50,11733543
30-Oct-17,73.21,73.91,73.18,73.78,10556913
27-Oct-17,73.43,73.98,73.01,73.87,11309869
26-Oct-17,73.66,74.25,73.60,73.79,13213118
25-Oct-17,74.48,74.63,73.26,73.62,17188102
24-Oct-17,73.96,74.75,73.73,74.24,15260158
23-Oct-17,73.48,74.01,73.43,73.53,10821466
20-Oct-17,73.76,73.88,73.18,73.53,15634587
19-Oct-17,72.35,72.94,71.71,72.88,12322700
18-Oct-17,72.66,73.33,72.55,73.12,15126734
17-Oct-17,72.24,72.72,72.00,72.19,15743771
16-Oct-17,71.38,72.58,71.37,71.77,21169163
13-Oct-17,72.10,72.34,70.91,72.11,30907260
12-Oct-17,75.82,76.14,72.27,72.37,40166252
11-Oct-17,74.97,75.24,74.66,74.74,1512573
10-Oct-17,75.40,75.54,74.63,75.18,13866584
9-Oct-17,75.83,75.88,75.09,75.39,12830818
6-Oct-17,75.81,76.02,75.10,75.64,16119873
5-Oct-17,74.07,75.93,73.85,75.72,19701222
4-Oct-17,74.18,74.74,73.93,74.06,12904094
3-Oct-17,73.98,74.38,73.85,74.13,11925126
2-Oct-17,73.07,73.89,72.91,73.80,13386345
29-Sep-17,72.55,72.90,72.36,72.74,12777307
28-Sep-17,72.61,72.86,72.02,72.65,13845943
