Date,Open,High,Low,Close,Volume
29-Nov-17,55.84,57.25,55.70,56.68,29631806
28-Nov-17,53.87,55.89,53.72,55.57,25685169
27-Nov-17,54.02,54.46,53.86,53.95,11066809
24-Nov-17,54.19,54.31,54.00,54.09,5386489
22-Nov-17,54.46,54.62,54.02,54.06,11421659
21-Nov-17,54.08,54.58,53.99,54.52,13757036
20-Nov-17,54.12,54.21,53.85,54.05,16943059
17-Nov-17,54.21,54.46,53.97,54.15,15814821
16-Nov-17,53.95,54.86,53.86,54.60,26361825
15-Nov-17,53.63,54.12,53.48,53.75,18238575
14-Nov-17,53.52,54.10,53.32,54.04,20830063
13-Nov-17,53.52,53.91,53.41,53.72,13447019
10-Nov-17,54.02,54.13,53.79,53.81,13671702
9-Nov-17,53.90,54.19,53.21,54.00,24438825
8-Nov-17,54.80,54.99,54.05,54.26,24047114
7-Nov-17,56.17,56.29,54.67,55.05,18679065
6-Nov-17,56.10,56.43,56.00,56.18,10414893
3-Nov-17,56.25,56.44,55.90,56.35,10049173
2-Nov-17,55.80,56.52,55.35,56.48,15630001
1-Nov-17,56.32,56.84,56.19,56.21,11678320
31-Oct-17,55.95,56.52,55.90,56.14,14619169
30-Oct-17,55.45,55.96,55.31,55.85,12249199
27-Oct-17,55.23,56.04,55.13,55.87,17258583
26-Oct-17,55.45,56.17,55.45,55.62,15979177
25-Oct-17,55.49,55.58,54.87,55.25,17096879
24-Oct-17,55.00,55.56,55.00,55.42,18779387
23-Oct-17,54.75,55.04,54.70,54.91,18102146
20-Oct-17,54.21,55.07,54.04,54.92,28407666
19-Oct-17,53.11,53.93,53.00,53.75,12669710
18-Oct-17,53.41,54.07,53.32,53.41,21604023
17-Oct-17,53.98,54.00,53.12,53.19,18614716
16-Oct-17,53.65,53.97,53.42,53.80,22802389
13-Oct-17,53.49,53.71,52.84,53.69,35310028
12-Oct-17,55.69,55.71,55.06,55.21,15067498
11-Oct-17,55.44,55.57,55.26,55.41,1031746
