Date,Open,High,Low,Close,Volume
29-Nov-17,118.34,119.26,115.33,119.04,4122054
28-Nov-17,115.11,115.43,114.39,115.19,2025770
27-Nov-17,113.42,114.66,113.37,114.54,3060515
24-Nov-17,114.00,114.19,112.96,113.14,891718
22-Nov-17,113.93,114.19,113.59,113.77,1846198
21-Nov-17,113.05,114.14,112.80,113.92,2205374
20-Nov-17,113.18,113.51,112.82,113.20,2811124
17-Nov-17,113.33,113.50,112.56,112.94,2155351
16-Nov-17,113.69,114.21,112.97,113.70,2518380
15-Nov-17,113.75,114.29,112.66,112.89,2153449
14-Nov-17,114.30,114.50,113.67,114.07,3238234
13-Nov-17,114.07,114.86,113.53,114.81,3301313
10-Nov-17,111.57,113.27,111.30,113.23,2840098
9-Nov-17,112.83,113.00,111.72,112.55,2713855
8-Nov-17,113.66,113.70,112.65,113.13,2371851
7-Nov-17,113.83,114.86,113.63,113.95,2730433
6-Nov-17,115.58,116.00,113.60,113.92,3351103
3-Nov-17,116.87,116.87,115.17,115.46,2957646
2-Nov-17,117.62,117.75,115.04,116.87,3522331
1-Nov-17,117.94,118.17,117.18,117.46,2088585
31-Oct-17,118.50,118.79,117.45,117.53,2498983
30-Oct-17,120.52,120.52,117.84,118.09,3441974
27-Oct-17,119.31,121.75,119.31,120.75,3638275
26-Oct-17,118.29,120.79,117.00,119.33,4104540
25-Oct-17,119.58,119.74,118.44,118.55,3397006
24-Oct-17,120.18,120.42,119.62,119.70,1845623
23-Oct-17,120.24,120.41,119.63,119.68,2052179
20-Oct-17,119.59,120.43,119.51,119.76,2427577
19-Oct-17,117.68,119.53,117.68,119.42,2119640
18-Oct-17,117.41,118.77,117.41,118.15,2089301
17-Oct-17,118.00,118.23,117.40,117.68,1484420
16-Oct-17,118.61,118.69,117.46,118.34,1247290
13-Oct-17,120.04,120.11,118.24,118.36,1665486
12-Oct-17,118.80,120.02,118.65,119.57,2290275
11-Oct-17,118.12,118.41,117.95,118.24,59358
10-Oct-17,117.63,118.60,117.27,118.12,2064184
9-Oct-17,118.14,118.62,116.92,117.15,1839218
6-Oct-17,117.99,118.73,117.40,117.70,2828294
5-Oct-17,116.78,118.20,116.52,118.20,4480304
4-Oct-17,119.51,119.62,118.68,119.00,2309690
3-Oct-17,120.33,120.56,119.51,119.71,1856994
2-Oct-17,120.00,120.80,119.86,120.79,1989857
29-Sep-17,119.56,120.42,119.43,120.09,2445796
28-Sep-17,118.56,119.72,118.32,119.61,1629291
27-Sep-17,118.69,119.17,118.38,118.62,2280269
26-Sep-17,118.02,119.00,116.99,118.92,2870741
25-Sep-17,118.07,118.29,117.16,118.22,2361133
22-Sep-17,117.39,118.05,117.14,117.67,1883335
21-Sep-17,117.83,118.00,117.08,117.26,1765739
20-Sep-17,116.96,118.39,116.65,117.83,3481829
19-Sep-17,117.59,117.98,116.89,116.97,2002737
18-Sep-17,117.93,118.36,117.40,117.59,2292447
15-Sep-17,117.36,118.00,117.10,117.90,3411257
14-Sep-17,116.70,117.48,116.50,117.38,2102811
13-Sep-17,116.84,117.65,116.66,117.06,2302641
12-Sep-17,116.23,117.53,115.98,117.15,2151706
11-Sep-17,115.50,116.37,115.31,116.20,2021495
8-Sep-17,114.61,115.41,114.06,115.05,1645388
7-Sep-17,113.88,114.78,113.88,114.67,1616260
6-Sep-17,114.25,114.56,113.73,113.81,2144441
5-Sep-17,114.11,114.37,113.54,113.92,1771522
1-Sep-17,114.72,115.04,114.39,114.39,1549241
31-Aug-17,115.47,115.47,113.89,114.36,3262164
30-Aug-17,114.88,115.64,114.87,114.97,1968539
29-Aug-17,113.55,115.01,112.96,114.89,2083098
28-Aug-17,113.79,114.06,113.58,113.79,1928017
25-Aug-17,113.74,114.11,113.33,113.40,2015061
24-Aug-17,113.84,113.96,113.24,113.35,1147527
23-Aug-17,114.12,114.12,113.26,113.55,1528406
22-Aug-17,114.00,114.84,113.84,114.60,1594145
21-Aug-17,113.34,114.20,113.18,113.83,1455218
18-Aug-17,112.93,114.20,112.68,113.34,2249273
17-Aug-17,114.60,114.81,112.90,112.92,2439860
16-Aug-17,114.27,115.34,114.22,114.76,2196283
