Date,Open,High,Low,Close,Volume
29-Nov-17,37.75,38.02,37.23,37.48,36788586
28-Nov-17,37.00,37.80,36.98,37.73,30966601
27-Nov-17,36.51,37.09,36.50,36.87,20942222
24-Nov-17,36.41,36.57,36.32,36.49,6155794
22-Nov-17,36.70,36.72,36.36,36.45,17226399
21-Nov-17,36.75,36.97,36.58,36.65,24146384
20-Nov-17,35.93,36.54,35.93,36.50,26897844
17-Nov-17,35.90,36.32,35.81,35.90,27987968
16-Nov-17,36.04,36.67,35.83,35.88,61177066
15-Nov-17,33.97,34.31,33.75,34.11,30829556
14-Nov-17,33.86,34.16,33.80,34.04,17468535
13-Nov-17,33.86,34.21,33.83,33.95,16441540
10-Nov-17,34.06,34.09,33.67,33.99,19319360
9-Nov-17,34.29,34.32,33.87,34.05,16784991
8-Nov-17,34.31,34.50,34.12,34.50,13061334
7-Nov-17,34.32,34.48,34.21,34.40,11332941
6-Nov-17,34.37,34.56,34.26,34.41,12786917
3-Nov-17,34.28,34.49,34.03,34.47,13414354
2-Nov-17,34.55,34.64,34.16,34.21,19827603
1-Nov-17,34.29,34.75,34.28,34.62,22051255
31-Oct-17,33.98,34.24,33.96,34.15,13935120
30-Oct-17,34.13,34.38,33.82,34.04,18345087
27-Oct-17,34.15,34.62,34.09,34.43,20356597
26-Oct-17,34.41,34.51,34.07,34.27,14616103
25-Oct-17,34.73,34.73,34.16,34.30,17400891
24-Oct-17,34.40,34.68,34.25,34.58,16280155
23-Oct-17,34.45,34.68,34.27,34.35,22631966
20-Oct-17,34.02,34.39,34.01,34.25,24361352
19-Oct-17,33.51,33.89,33.45,33.75,13203111
18-Oct-17,33.72,33.75,33.44,33.55,9971246
17-Oct-17,33.59,33.67,33.46,33.60,9303117
16-Oct-17,33.60,33.64,33.47,33.54,10509057
13-Oct-17,33.40,33.57,33.32,33.47,13578818
12-Oct-17,33.26,33.46,33.17,33.26,17905601
11-Oct-17,33.38,33.63,33.25,33.59,12561374
10-Oct-17,33.88,33.91,33.47,33.55,18011029
9-Oct-17,33.77,33.89,33.61,33.76,8728444
6-Oct-17,33.65,33.78,33.52,33.75,15464652
5-Oct-17,33.58,33.67,33.41,33.59,14524809
4-Oct-17,33.53,33.56,33.29,33.44,14652192
3-Oct-17,33.72,33.90,33.61,33.85,13346858
2-Oct-17,33.61,33.77,33.52,33.75,16555183
29-Sep-17,33.31,33.67,33.24,33.63,14802671
28-Sep-17,33.22,33.46,33.22,33.35,15496862
27-Sep-17,33.78,33.92,33.30,33.48,22310041
26-Sep-17,33.76,34.10,33.67,33.76,26138300
25-Sep-17,33.31,33.84,33.20,33.72,32396906
22-Sep-17,32.66,33.53,32.64,33.37,28234858
21-Sep-17,32.72,32.90,32.50,32.70,19870012
20-Sep-17,32.55,32.75,32.39,32.60,19865366
19-Sep-17,32.46,32.65,32.40,32.49,12927654
18-Sep-17,32.43,32.66,32.26,32.52,17290893
15-Sep-17,32.20,32.50,32.12,32.44,29336087
14-Sep-17,31.91,32.22,31.91,32.19,18194803
13-Sep-17,32.34,32.39,31.96,32.18,22705140
12-Sep-17,32.30,32.47,32.19,32.41,18923132
11-Sep-17,31.71,32.30,31.67,32.19,22440819
8-Sep-17,31.68,31.78,31.46,31.48,15339455
7-Sep-17,31.96,31.97,31.74,31.76,14751706
6-Sep-17,31.75,31.91,31.63,31.87,16962308
5-Sep-17,32.15,32.24,31.46,31.62,32650934
1-Sep-17,32.22,32.34,32.03,32.30,14686578
31-Aug-17,32.10,32.34,31.99,32.21,27800153
30-Aug-17,31.47,32.20,31.42,31.99,22988730
29-Aug-17,31.26,31.63,31.19,31.48,16362658
28-Aug-17,31.60,31.66,31.41,31.54,12958921
25-Aug-17,31.39,31.80,31.36,31.44,19558253
24-Aug-17,30.95,31.40,30.90,31.24,22576090
23-Aug-17,31.21,31.40,30.91,30.92,22436582
22-Aug-17,30.85,31.33,30.75,31.27,24747246
21-Aug-17,30.37,30.80,30.36,30.68,24198403
18-Aug-17,31.00,31.06,30.36,30.37,34802193
17-Aug-17,31.49,31.77,30.85,31.04,53288773
16-Aug-17,32.10,32.47,32.06,32.34,29051966
15-Aug-17,31.85,32.21,31.84,32.09,25251460
14-Aug-17,31.69,31.89,31.56,31.84,21761643
11-Aug-17,31.23,31.54,31.04,31.47,20756566
10-Aug-17,31.56,31.56,31.00,31.00,23517356
9-Aug-17,31.55,31.68,31.36,31.62,16131324
8-Aug-17,31.75,32.00,31.60,31.67,15375678
7-Aug-17,31.79,31.88,31.69,31.84,11877405
4-Aug-17,31.67,31.91,31.58,31.80,16929451
3-Aug-17,31.59,31.72,31.43,31.56,14420797
2-Aug-17,31.57,31.57,31.25,31.52,15845636
1-Aug-17,31.59,31.66,31.43,31.65,12962777
31-Jul-17,31.54,31.59,31.37,31.45,19256428
28-Jul-17,31.45,31.60,31.26,31.52,15770955
27-Jul-17,31.73,31.75,31.21,31.57,21437389
26-Jul-17,32.12,32.22,31.51,31.66,21941467
25-Jul-17,31.90,32.25,31.88,32.12,14989974
24-Jul-17,31.86,31.92,31.66,31.86,15504103
21-Jul-17,31.86,32.03,31.70,31.84,13973789
20-Jul-17,31.91,32.05,31.76,31.86,16389480
19-Jul-17,31.51,32.05,31.46,31.90,21567937
18-Jul-17,31.41,31.51,31.17,31.51,15530723
17-Jul-17,31.50,31.64,31.45,31.50,16427499
14-Jul-17,31.37,31.45,31.27,31.42,13573117
13-Jul-17,31.26,31.28,31.08,31.27,15934187
12-Jul-17,31.25,31.44,31.14,31.16,18586175
11-Jul-17,31.05,31.12,30.86,31.09,12805956
10-Jul-17,30.88,31.09,30.82,30.98,15528778
7-Jul-17,30.76,31.07,30.75,30.90,15860596
6-Jul-17,30.99,31.02,30.67,30.72,20789117
5-Jul-17,30.85,31.27,30.73,31.11,24270320
3-Jul-17,31.09,31.64,31.03,31.33,14112089
30-Jun-17,31.79,31.79,31.30,31.30,23604639
29-Jun-17,31.79,32.02,31.25,31.41,27664454
28-Jun-17,31.78,32.28,31.76,32.08,17732307
27-Jun-17,32.09,32.26,31.76,31.76,23224246
26-Jun-17,32.22,32.50,32.18,32.24,22174963
23-Jun-17,31.85,32.30,31.75,32.09,25792153
22-Jun-17,31.91,32.00,31.70,31.85,19436616
21-Jun-17,31.73,31.87,31.51,31.84,20386074
20-Jun-17,31.94,32.16,31.84,31.85,18190130
19-Jun-17,31.77,32.02,31.58,31.99,18459210
16-Jun-17,31.61,31.64,31.20,31.63,36367419
15-Jun-17,31.25,31.64,31.22,31.58,19327991
14-Jun-17,31.87,31.97,31.33,31.60,24940406
13-Jun-17,31.30,31.80,31.28,31.70,27781044
12-Jun-17,31.34,31.64,31.15,31.25,25784435
9-Jun-17,31.64,31.83,31.08,31.37,25376559
8-Jun-17,31.53,31.81,31.52,31.61,21828614
7-Jun-17,31.61,31.72,31.44,31.61,14948437
6-Jun-17,31.75,31.76,31.50,31.56,16186562
5-Jun-17,32.05,32.05,31.57,31.76,15975981
2-Jun-17,31.93,32.06,31.68,31.98,20085192
1-Jun-17,31.52,31.82,31.47,31.82,15525451
31-May-17,31.78,31.89,31.46,31.53,30196715
30-May-17,31.40,31.81,31.39,31.68,17108324
26-May-17,31.51,31.59,31.36,31.50,16403052
25-May-17,31.55,31.69,31.37,31.44,21586482
24-May-17,31.93,31.94,31.22,31.49,23517633
23-May-17,31.83,31.87,31.52,31.76,29827507
22-May-17,31.15,31.98,31.15,31.59,35085249
19-May-17,31.74,31.78,31.02,31.21,39859249
18-May-17,31.10,31.51,30.37,31.38,85500515
17-May-17,34.20,34.31,33.80,33.82,38787770
16-May-17,34.24,34.33,34.04,34.30,18950047
15-May-17,34.00,34.46,33.97,34.23,31531001
12-May-17,33.60,33.62,33.14,33.45,20194336
11-May-17,33.72,33.82,33.48,33.63,17515568
10-May-17,33.90,33.90,33.58,33.74,17481356
9-May-17,34.14,34.26,33.84,33.90,18855861
8-May-17,34.46,34.60,34.15,34.29,13232657
5-May-17,34.25,34.40,34.07,34.39,15091765
4-May-17,34.33,34.49,34.07,34.18,13638588
3-May-17,34.16,34.34,34.12,34.25,14432179
2-May-17,34.06,34.24,33.93,34.24,15983571
1-May-17,34.11,34.14,33.81,33.97,13577289
28-Apr-17,33.88,34.08,33.67,34.07,20461746
27-Apr-17,34.01,34.11,33.62,33.75,26639030
26-Apr-17,33.58,33.63,33.37,33.40,17949699
25-Apr-17,33.39,33.52,33.35,33.42,15058776
24-Apr-17,33.24,33.36,33.13,33.28,15400452
21-Apr-17,32.94,32.94,32.67,32.82,13877681
20-Apr-17,32.79,32.95,32.72,32.83,11927466
19-Apr-17,32.80,32.89,32.61,32.65,16373804
